acc_max,acc_kurtosis,acc_skewness,gyro_max,gyro_kurtosis,gyro_skewness,linMaxValue,postLinMaxValue,postGyroMaxValue,postMagMaxValue,mag_max,mag_curtosis,mag_skewness,act,fall
4.879.476.788.406.100,-29.999.904.902.996.600,1.542.259.118.557.660,9.384.269.830.071.340,-29.891.444.460.470.100,9.930.837.445.442.170,38.984.767.884.061.000,4.866.575.093.328.720,2.924.072.203.046.860,18.569.006.070.913.900,1.750.951.615.798.480,-29.651.232.966.020.600,-38.460.521.967.428.500,TRO,0
6.237.457.655.112.710,-2.999.999.605.242.710,10.696.132.920.258.400,1.348.672.393.405.630,-2.999.211.920.136.510,8.774.358.040.457.410,52.564.576.551.127.100,10.422.435.483.440.600,15.780.096.849.396.200,16.412.165.619.952.800,17.433.897.116.818.400,-26.164.526.006.911.400,-5.621.911.959.092.820,SAL,0
1.043.600.657.576.060,-29.859.600.526.036.800,13.833.551.236.652.100,7.241.967.212.022.370,-2.864.079.110.932.460,8.199.428.597.482.000,6.260.065.757.606.690,9.795.972.529.039.250,7.976.156.632.470.190,20.860.335.316.619.100,20.514.121.497.020.600,-22.976.437.630.337.600,-9.169.057.138.549.870,SEN,0
11.071.381.689.485.200,-29.777.724.557.130.300,575.241.578.737.089,28.872.917.271.558.100,-24.211.715.801.148.000,2.585.531.216.559.840,12.613.816.894.852.300,14.160.474.476.588.500,38.457.569.825.458.400,21.040.161.632.671.200,17.533.452.991.317.800,-29.962.853.850.466.900,-1.242.054.709.498.070,CA,0
27.970.980.031.747.700,-299.999.643.404.712,2.281.076.453.340.460,7.544.184.473.908.820,-29.875.619.705.739.200,23.317.661.826.775.700,18.160.980.031.747.700,6.528.687.071.003.310,9.635.864.954.734.060,16.941.050.669.571.800,1.716.901.807.946.650,-2.949.248.562.796.200,-15.043.434.404.361.100,TRO,0
3.657.712.999.483.670,-2.999.998.584.448.680,19.219.257.129.775.000,837.112.057.131.562,-298.612.708.274.572,3.137.003.791.857.740,2.676.712.999.483.670,8.449.678.853.820.470,8.231.777.370.302.240,19.453.790.554.197.200,20.057.058.648.506.700,-29.681.146.989.413.300,1.449.595.957.518.280,SAL,0
12.777.556.246.805.000,-29.930.470.368.347.100,-322.630.062.454.905,35.525.372.324.251.400,-27.860.291.388.696.800,-10.708.540.799.878.300,2.967.556.246.805.060,15.849.900.322.202.500,32.700.664.661.045.800,26.599.630.270.976.900,18.682.461.591.916.100,-2.996.335.691.657.390,10.157.695.073.699.500,CA,0
6.461.204.448.617.550,-29.999.954.048.144.300,15.578.558.133.745.300,6.803.891.698.218.920,-29.859.812.799.116.400,3.077.320.828.420.350,5.480.204.448.617.550,37.610.428.241.324.200,692.009.202.537.306,16.109.301.054.655.100,1.892.436.425.259.670,-2.995.757.468.000.730,18.302.018.574.283.700,TRO,0
15.436.736.199.367.000,-29.887.267.608.750.600,3.034.932.649.200.860,3.565.837.792.720.160,-28.066.599.986.067.700,4.387.525.344.784.500,5.626.736.199.367.050,14.916.065.091.347.400,4.835.488.280.146.540,19.333.225.131.492.800,18.403.868.244.197.800,-2.994.268.248.380.550,-12.085.690.670.153.800,CA,0
47.650.553.027.317,-29.999.845.438.560.500,11.503.864.029.124.800,10.052.938.021.200.600,-2.997.363.982.830.240,13.246.762.195.629.700,37.840.553.027.317,42.367.155.090.207.600,14.143.035.279.708.800,15.809.743.391.918.600,195.214.949.023.849,-29.917.442.568.317.500,-22.937.933.004.816.800,TRO,0
8.006.606.046.753.900,-2.999.998.959.971.930,1.155.011.338.664.490,795.386.149.501.005,-2.999.233.951.826.340,15.454.418.697.528.400,7.025.606.046.753.900,53.026.490.520.339.000,10.286.781.674.778.300,1.881.906.415.189.470,1.707.809.045.755.110,-28.417.303.510.580.300,6.308.748.282.085.800,SAL,0
14.767.262.047.573.800,-29.856.633.693.120.800,-19.617.622.925.110.300,2.972.951.526.666.250,-26.650.771.580.355.600,-11.608.949.648.900.800,49.572.620.475.738.300,14.747.160.288.237.400,32.108.954.022.832.500,18.713.171.348.867.300,25.256.079.834.648.700,-2.995.531.613.553.720,-44.131.959.095.726.400,CA,0
1.681.100.445.364.340,-299.999.620.068.414,1.554.563.505.581.750,8.749.463.336.586.130,-29.805.494.632.919.800,1.045.281.508.694.350,7.001.004.453.643.440,1.547.637.070.727.350,4.979.566.288.482.160,1.609.320.283.567.160,186.765.829.750.855,-29.951.537.328.630.800,7.481.802.395.293.710,TRO,0
8.740.581.826.875.070,-29.999.994.653.385.000,20.250.624.203.833.500,8.996.155.965.483.690,-29.805.987.547.109.200,19.779.562.695.208.000,7.759.581.826.875.070,14.446.800.393.723.100,6.416.866.830.237.750,2.012.291.122.113.020,1.870.287.654.822.970,-2.550.811.325.039.010,48.461.744.950.089.500,SAL,0
16.838.007.988.222.500,-2.994.421.114.645.970,27.785.913.689.606.200,6.005.411.755.821.400,-2.935.974.496.975.540,10.576.996.671.272.100,7.028.007.988.222.590,14.201.602.574.912.700,32.682.104.730.062.300,17.827.776.198.550.500,2.119.036.608.074.170,-2.989.808.670.307.050,-4.571.990.291.506.710,CA,0
4.361.815.347.569.080,-2.999.985.137.872.650,905.297.375.491.664,9.127.959.772.531.240,-2.994.658.088.565.890,8.226.726.649.651.550,3.380.815.347.569.080,19.947.317.924.954.200,10.257.601.644.193.300,20.920.133.546.153.100,14.842.452.632.757.100,-29.955.404.937.184.500,-6.408.385.959.087.680,TRO,0
3.744.792.154.668.590,-299.999.411.114.747,15.871.358.146.960.000,10.707.877.094.370.100,-29.995.976.492.362.900,16.235.838.781.883.800,27.637.921.546.685.900,5.775.800.339.461.970,60.914.342.438.978.100,19.117.321.263.065.500,20.243.220.649.999.000,-27.959.881.618.550.200,12.040.793.648.915.900,SAL,0
10.222.180.047.109.900,-2.923.007.959.678.200,9.175.653.862.449.600,14.163.528.995.759.400,-28.909.636.212.975.300,1.058.476.505.608.360,41.218.004.710.993.300,9.622.769.704.204.350,23.980.283.878.972.400,2.039.770.550.244.320,22.579.619.194.157.100,-2.939.726.821.898.990,-44.987.113.272.195.900,SEN,0
18.603.404.272.738.700,-29.979.538.469.746.100,2.526.594.842.077.540,2.946.149.497.835.020,-28.890.059.205.425.500,8.777.178.145.665.580,8.793.404.272.738.790,1.602.897.456.094.730,26.949.564.274.962.200,18.975.656.907.000.200,17.620.907.946.520.200,-2.993.768.648.859.740,-1.354.751.634.536.320,CA,0
3.966.995.868.800.370,-299.999.887.874.177,2.072.729.312.317.700,8.387.763.609.589.460,-29.849.671.449.595.000,5.712.878.566.591.300,2.985.995.868.800.370,9.412.385.821.754.650,50.415.468.340.798.000,19.991.618.689.931.700,1.614.323.332.417.210,-2.979.853.182.012.400,-2.115.588.122.406.220,TRO,0
8.156.554.599.211.840,-2.999.999.290.276.270,1.142.646.114.847.890,32.891.399.077.528.500,-299.048.321.009.163,5.645.252.153.968.560,7.175.554.599.211.840,4.384.072.230.407.220,6.867.236.175.282.160,18.954.113.279.123.000,18.789.965.780.890.800,-2.867.941.643.873.130,23.408.832.147.890.800,SAL,0
11.531.311.621.402.300,-29.875.973.144.469.100,8.826.606.565.059.830,23.624.506.784.002.900,-2.568.669.340.788.790,10.472.771.499.213.400,17.213.116.214.023.500,11.744.584.725.635.100,2.701.760.433.544.310,20.550.240.074.217.200,21.075.805.577.856.700,-2.930.406.848.576.020,-15.080.743.518.079.500,CA,0
