timestamp,acc_x,acc_y,acc_z,act,fall,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2,373.016.619.682.312,8.010.998.725.891.110,4.311.957.359.313.960,TRO,0,-5.970.807.075.500.480,-20.559.604.465.961.400,5.555.354.356.765.740,37.799.999.713.897.700,1.685.999.870.300.290,-4.019.999.980.926.510
3,15.394.717.454.910.200,-7.979.874.134.063.720,-5.975.927.352.905.270,TRO,0,7.284.278.392.791.740,-32.969.934.940.338.100,17.992.316.484.451.200,6.420.000.076.293.940,15.539.999.961.853.000,-6.779.999.732.971.190
3,11.982.979.774.475.000,4.656.722.068.786.620,19.991.583.824.157.700,TRO,0,7.169.229.984.283.440,19.797.940.254.211.400,4.362.258.017.063.140,7.5,1.668.000.030.517.570,-4.920.000.076.293.940
3,-1.443.464.183.807.370,-4.180.276.393.890.380,10.211.270.332.336.400,TRO,0,-10.189.786.911.010.700,-42.413.506.507.873.500,4.309.527.397.155.760,7.799.999.713.897.700,15.420.000.076.293.900,-8.579.999.923.706.050
4,-6.322.847.366.333.000,16.991.649.627.685.500,-20.930.110.931.396.400,TRO,0,-600.276.529.788.971,-2.334.527.015.686.030,-13.816.479.444.503.700,6.480.000.019.073.480,15.960.000.038.146.900,-8.760.000.228.881.830
4,41.395.745.277.404.700,21.763.294.219.970.700,1.145.146.656.036.370,TRO,0,717.349.100.112.915,-31.185.617.446.899.400,25.166.873.931.884.700,38.999.998.569.488.500,1.434.000.015.258.780,-10.5
4,1.723.825.216.293.330,-3.399.766.445.159.910,-25.905.263.423.919.600,TRO,0,12.255.867.719.650.200,37.252.297.401.428.200,-1.763.545.274.734.490,26.399.998.664.855.900,10.139.999.389.648.400,-18.420.000.076.293.900
5,38.522.706.031.799.300,2.978.386.878.967.280,-5.123.591.423.034.660,TRO,0,-21.038.973.331.451.400,17.347.831.726.074.200,1.138.235.092.163.080,-23.399.999.141.693.100,9.239.999.771.118.160,-20.399.999.618.530.200
5,-6.936.002.254.486.080,-7.529.764.175.415.030,26.815.059.185.028.000,TRO,0,49.428.272.247.314.400,-39.878.175.258.636.400,1.672.465.205.192.560,-10.619.999.885.559.000,7.679.999.828.338.620,-17.940.000.534.057.600
5,-5.765.476.989.746.090,1.676.898.956.298.820,8.674.192.428.588.860,TRO,0,6.077.333.927.154.540,39.627.838.134.765.600,7.142.598.032.951.350,-15.179.999.351.501.400,959.999.942.779.541,-13.679.999.351.501.400
6,-2.429.875.373.840.330,27.619.510.650.634.700,4.048.594.951.629.630,TRO,0,-19.707.392.454.147.300,2.102.299.451.828.000,-5.972.404.956.817.620,-16.739.999.771.118.100,12.479.999.542.236.300,-9.239.999.771.118.160
6,3.337.517.261.505.120,-4.886.565.685.272.210,-6.742.072.105.407.710,TRO,0,10.689.928.531.646.700,14.876.418.113.708.400,-18.269.285.559.654.200,-16.619.998.931.884.700,12.239.999.771.118.100,-89.399.995.803.833
6,5.413.290.023.803.710,8.690.952.062.606.810,3.670.311.212.539.670,TRO,0,20.202.739.238.739.000,2.832.005.500.793.450,-5.474.393.844.604.490,-16.799.999.237.060.500,10.739.999.771.118.100,-11.039.999.961.853.000
7,-16.639.702.320.098.800,-1.170.764.684.677.120,-5.995.080.947.875.970,TRO,0,5.446.164.608.001.700,-7.984.157.204.627.990,-5.725.796.222.686.760,-1.931.999.969.482.420,7.919.999.599.456.780,-834.000.015.258.789
7,-10.884.040.832.519.500,13.333.309.173.583.900,19.709.068.298.339.800,TRO,0,-4.175.836.563.110.350,19.963.055.849.075.300,-766.138.219.833.374,-20.639.999.389.648.400,293.999.981.880.188,-5.339.999.675.750.730
7,-43.471.519.470.214.800,15.198.391.914.367.600,4.995.501.708.984.370,TRO,0,11.845.741.271.972.600,-7.297.061.383.724.210,3.142.530.024.051.660,-17.219.999.313.354.400,-19.799.998.998.641.900,3.240.000.009.536.740
7,5.674.257.874.488.830,18.291.701.078.414.900,-4.671.087.741.851.800,TRO,0,2.568.352.699.279.780,-6.426.740.646.362.300,45.140.581.130.981.400,-11.579.999.923.706.000,-12.599.999.904.632.500,14.219.999.313.354.400
8,-10.034.099.578.857.400,6.643.909.931.182.860,17.764.976.501.464.800,TRO,0,-8.948.221.206.665.030,6.189.186.573.028.560,-6.924.218.963.831.660,-5.519.999.980.926.510,-35.999.999.046.325.600,2.069.999.885.559.080
0,-30.334.534.645.080.500,5.224.148.273.468.010,6.564.900.875.091.550,SEN,0,-4.506.068.527.698.510,-6.295.713.186.264.030,-2.657.302.141.189.570,12.960.000.038.146.900,3.179.999.828.338.620,17.459.999.084.472.600
1,-43.095.629.662.275.300,-19.153.612.852.096.500,7.489.062.786.102.290,SEN,0,-3.749.730.885.028.830,-5.608.617.067.337.030,3.171.292.304.992.670,11.579.999.923.706.000,17.999.999.225.139.600,1.835.999.870.300.290
1,29.927.520.751.953.100,16.998.831.927.776.300,4.699.818.134.307.860,SEN,0,7.291.735.410.690.300,11.930.961.906.909.900,15.313.177.108.764.600,587.999.963.760.376,-7.799.999.713.897.700,16.619.998.931.884.700
1,1.414.973.258.972.160,-545.877.993.106.842,11.611.878.395.080.500,SEN,0,-9.310.411.214.828.490,5.273.059.010.505.670,-5.805.691.331.624.980,-20.399.999.618.530.200,-13.979.999.542.236.300,12.779.999.732.971.100
1,-105.105.459.690.094,11.971.008.777.618.400,79.846.625.328.063.900,SEN,0,8.591.358.065.605.160,48.469.531.536.102.200,-6.434.197.425.842.280,-4.380.000.114.440.910,-1.631.999.969.482.420,10.260.000.228.881.800
2,-5.746.084.079.146.380,-8.930.372.595.787.040,11.362.881.660.461.400,SEN,0,-10.860.371.589.660.600,-39.084.553.718.566.800,22.642.195.224.761.900,-2.759.999.990.463.250,-1.685.999.870.300.290,104.399.995.803.833
2,1.335.964.560.508.720,3.447.650.372.982.020,12.138.602.256.774.900,SEN,0,-43.249.738.216.400.100,-16.777.914.762.496.900,9.054.747.968.912.120,-4.139.999.866.485.590,-16.260.000.228.881.800,11.819.999.694.824.200
2,-19.297.266.006.469.700,1.460.463.047.027.580,8.645.462.036.132.810,SEN,0,3.328.951.299.190.520,-5.885.586.142.539.970,41.545.313.596.725.400,-6.659.999.847.412.100,-15.420.000.076.293.900,12.059.999.465.942.300
3,-26.336.219.161.748.800,1.115.697.979.927.060,71.921.820.640.563.900,SEN,0,-36.005.938.053.131.100,-6.380.934.119.224.540,-4.032.025.933.265.680,-7.319.999.694.824.210,-14.219.999.313.354.400,13.679.999.351.501.400
3,828.393.816.947.937,1.400.607.943.534.850,10.371.682.167.053.200,SEN,0,-621.049.165.725.708,-5.848.301.649.093.620,1.486.043.930.053.710,-6.599.999.904.632.560,-13.679.999.351.501.400,15
3,-28.730.419.278.144.800,21.499.931.812.286.300,944.752.025.604.248,SEN,0,-9.853.696.078.062.050,-3.888.215.124.607.080,13.102.753.460.407.200,-521.999.979.019.165,-13.920.000.076.293.900,15.839.999.198.913.500
4,-8.140.286.058.187.480,21.978.771.686.553.900,9.227.252.960.205.070,SEN,0,7.723.167.538.642.880,-41.012.682.020.664.200,-4.207.794.740.796.080,-4.319.999.694.824.210,-13.799.999.237.060.500,16.079.999.923.706.000
4,-16.759.412.363.171.500,2.099.714.994.430.540,9.452.308.654.785.150,SEN,0,-4.793.690.051.883.450,15.978.965.908.288.900,-7.989.482.954.144.470,-39.599.997.997.283.900,-13.739.999.771.118.100,1.619.999.885.559.080
4,-22.266.076.505.184.100,203.507.137.298.584,9.615.114.212.036.130,SEN,0,37.816.889.584.064.400,4.074.636.399.745.940,12.197.277.694.940.500,-37.799.999.713.897.700,-13.380.000.114.440.900,1.631.999.969.482.420
5,19.393.034.279.346.400,25.115.175.247.192.300,6.497.863.292.694.090,SEN,0,3.153.182.864.189.140,-33.182.987.570.762.600,4.367.584.362.626.070,-4.199.999.809.265.130,-13.019.999.504.089.300,16.260.000.228.881.800
5,-1.699.883.222.579.950,2.894.589.900.970.450,671.334.171.295.166,SEN,0,8.080.030.679.702.750,8.266.451.954.841.610,-9.960.222.989.320.750,-4.920.000.076.293.940,-13.679.999.351.501.400,16.139.999.389.648.400
5,-11.420.341.730.117.700,3.205.836.057.662.960,8.327.033.042.907.710,SEN,0,-7.456.851.005.554.190,-5.550.028.085.708.610,10.972.224.175.930.000,-6.239.999.771.118.160,-13.319.999.694.824.200,15.539.999.961.853.000
6,-8.068.459.630.012.510,28.227.639.198.303.200,7.572.859.764.099.120,SEN,0,19.228.023.290.634.100,-5.699.164.792.895.310,884.169.489.145.279,-6.599.999.904.632.560,-12.960.000.038.146.900,1.559.999.942.779.540
6,3.878.606.855.869.290,2.142.810.583.114.620,10.369.287.490.844.700,SEN,0,-5.193.164.348.602.290,-36.325.517.296.791.000,-6.711.166.352.033.610,-5.940.000.057.220.450,-13.019.999.504.089.300,15.539.999.961.853.000
6,-10.893.617.868.423.400,25.977.089.405.059.800,8.884.882.926.940.910,SEN,0,23.329.292.237.758.600,-2.274.339.646.100.990,-3.515.372.574.329.370,-5.759.999.752.044.670,-13.319.999.694.824.200,15.299.999.237.060.500
7,-6.248.866.319.656.370,2.537.853.717.803.950,9.366.117.477.416.990,SEN,0,-1.065.264.455.974.100,-19.600.865.244.865.400,-14.114.753.901.958.400,-5.699.999.809.265.130,-13.380.000.114.440.900,1.565.999.984.741.210
7,-15.562.310.814.857.400,2.389.413.356.781.000,9.418.789.863.586.420,SEN,0,-17.044.231.295.585.600,-3.515.372.797.846.790,-8.096.009.492.874.140,-5.279.999.732.971.190,-13.619.999.885.559.000,1.631.999.969.482.420
7,-40.701.430.290.937.400,2.296.039.342.880.240,9.461.885.452.270.500,SEN,0,-3.834.952.041.506.760,-11.025.486.886.501.300,-7.190.535.217.523.570,-4.380.000.114.440.910,-1.415.999.984.741.210,1.631.999.969.482.420
8,13.407.529.890.537.200,2.185.906.171.798.700,9.557.653.427.124.020,SEN,0,-4.740.426.689.386.360,-12.303.804.606.199.200,-532.632.227.987.051,-4.380.000.114.440.910,-13.799.999.237.060.500,15.839.999.198.913.500
8,-1.388.636.976.480.480,23.104.045.391.082.700,9.421.183.586.120.600,SEN,0,-19.174.760.207.533.800,44.741.109.013.557.400,-41.545.312.851.667.400,-4.559.999.942.779.540,-13.920.000.076.293.900,16.079.999.923.706.000
8,-20.350.714.027.881.600,2.233.790.159.225.460,927.034.854.888.916,SEN,0,-1.065.264.455.974.100,-4.261.057.823.896.400,-41.012.682.020.664.200,-4.319.999.694.824.210,-13.859.999.656.677.200,163.799.991.607.666
8,-363.918.662.071.228,2.209.848.165.512.080,944.752.025.604.248,SEN,0,-7.456.851.191.818.710,-463.390.052.318.573,22.903.185.337.781.900,-4.199.999.809.265.130,-13.739.999.771.118.100,16.260.000.228.881.800
9,2.394.201.699.644.320,23.319.525.718.688.900,9.248.801.231.384.270,SEN,0,-12.250.540.778.040.800,-1.342.233.270.406.720,13.848.437.927.663.300,-4.319.999.694.824.210,-1.409.999.942.779.540,16.020.000.457.763.600
0,-13.168.109.953.403.400,6.335.057.735.443.110,7.010.222.434.997.550,CA,0,4.261.057.823.896.400,-19.707.392.901.182.100,-23.435.818.031.430.200,89.399.995.803.833,815.999.984.741.211,6.599.999.904.632.560
0,-12.018.892.765.045.100,6.636.727.333.068.840,7.374.141.216.278.070,CA,0,-250.337.153.673.172,-2.498.045.116.662.970,-4.958.806.037.902.830,7.859.999.656.677.240,9.479.999.542.236.320,5.940.000.057.220.450
1,-16.543.933.153.152.400,631.829.833.984.375,6.129.156.112.670.890,CA,0,-13.528.858.125.209.800,6.604.639.440.774.910,-32.597.091.794.013.900,7.019.999.980.926.510,1.134.000.015.258.780,5.279.999.732.971.190
1,14.245.500.564.575.100,5.602.431.893.348.690,9.775.525.093.078.610,CA,0,-20.985.710.620.880.100,-18.114.821.910.858.100,-5.033.374.428.749.080,6.239.999.771.118.160,11.699.999.809.265.100,6
1,17.142.484.188.079.800,9.026.140.570.640.560,929.189.682.006.836,CA,0,-5.097.290.277.481.070,-14.349.112.510.681.100,-6.066.681.146.621.700,4.380.000.114.440.910,11.279.999.732.971.100,8.039.999.961.853.020
1,-14.891.934.394.836.400,27.222.073.078.155.500,1.132.457.447.052.000,CA,0,-45.646.581.053.733.800,12.490.226.030.349.700,62.317.971.140.146.200,3.419.999.837.875.360,11.519.999.504.089.300,9.479.999.542.236.320
2,-16.615.760.326.385.400,-11.013.327.538.967.100,9.198.522.567.749.020,CA,0,5.965.480.953.454.970,18.439.728.021.621.700,5.326.322.466.135.020,25.799.999.237.060.500,12.179.999.351.501.400,10.679.999.351.501.400
2,-7.987.056.732.177.730,8.738.836.050.033.560,8.161.833.763.122.550,CA,0,11.904.330.253.601.000,1.639.974.594.116.210,-12.442.288.398.742.600,13.199.999.332.427.900,12.719.999.313.354.400,11.639.999.389.648.400
2,-7.690.176.010.131.830,-18.602.946.996.688.800,2.849.099.934.101.100,CA,0,6.167.881.488.800.040,12.138.688.564.300.500,-13.741.911.947.727.200,-3.419.999.837.875.360,13.739.999.771.118.100,9.359.999.656.677.240
3,-938.048.267.364.502,-10.558.429.956.436.100,2.049.436.569.213.860,CA,0,-474.042.683.839.798,6.689.860.820.770.260,20.240.023.732.185.300,-7.919.999.599.456.780,14.639.999.389.648.400,36.599.998.474.121.000
3,-11.367.670.059.204.100,7.589.619.159.698.480,7.398.083.209.991.450,CA,0,-37.816.889.584.064.400,-2.924.150.824.546.810,-5.155.879.855.155.940,-8.699.999.809.265.130,15.179.999.351.501.400,20.399.999.618.530.200
3,-11.903.970.718.383.700,-2.499.546.527.862.540,18.531.121.015.548.700,CA,0,16.682.041.883.468.600,7.435.545.921.325.680,3.749.730.885.028.830,-10.380.000.114.440.900,14.819.999.694.824.200,4.739.999.771.118.160
4,-6.698.976.516.723.630,-25.546.131.134.033.200,-39.025.487.899.780.200,CA,0,770.186.185.836.792,14.647.386.968.135.800,8.511.462.807.655.330,-104.399.995.803.833,15.179.999.351.501.400,293.999.981.880.188
4,-11.176.133.155.822.700,-22.026.655.673.980.700,7.110.779.285.430.900,CA,0,-15.957.661.867.141.700,19.228.023.290.634.100,-9.550.095.796.585.080,-7.319.999.694.824.210,1.685.999.870.300.290,5.999.999.642.372.130
4,-8.736.441.612.243.650,-395.043.283.700.943,8.379.705.995.321.270,CA,0,18.429.075.181.484.200,1.533.980.816.602.700,-362.189.918.756.485,-9.059.999.465.942.380,15.239.999.771.118.100,38.399.999.141.693.100
5,-8.779.537.200.927.730,-4.299.986.362.457.270,28.730.420.395.731.900,CA,0,13.651.363.849.639.800,13.582.122.325.897.200,25.326.662.063.598.600,-13.380.000.114.440.900,1.115.999.984.741.210,6.659.999.847.412.100
5,-6.567.295.074.462.890,-35.003.228.187.561.000,-15.849.615.335.464.400,CA,0,-869.255.781.173.706,-10.578.075.647.354.100,1.399.224.877.357.480,-11.579.999.923.706.000,119.399.995.803.833,1.5
5,-15.813.702.583.312.900,-344.765.043.258.667,-16.160.861.253.738.400,CA,0,-11.510.182.619.094.800,6.167.881.488.800.040,-24.927.189.350.128.100,-8.279.999.732.971.190,15.479.999.542.236.300,-35.399.999.618.530.200
6,-1.224.394.702.911.370,-227.209.734.916.687,24.899.697.303.771.900,CA,0,-27.537.086.606.025.600,17.417.073.249.816.800,-13.092.100.620.269.700,-10.619.999.885.559.000,14.279.999.732.971.100,-12.599.999.904.632.500
6,-10.472.238.540.649.400,-4.742.913.722.991.940,12.952.631.711.959.800,CA,0,7.611.314.654.350.280,15.659.387.409.687.000,18.253.306.150.436.400,-15.239.999.771.118.100,11.279.999.732.971.100,16.799.999.475.479.100
6,-59.519.853.591.918.900,-24.229.321.479.797.300,7.110.779.285.430.900,CA,0,-8.431.568.145.751.950,-1.548.361.897.468.560,13.688.647.747.039.700,-13.619.999.885.559.000,13.199.999.809.265.100,-23.999.999.463.558.100
7,-9.670.180.320.739.740,6.847.416.758.537.290,2.561.795.711.517.330,CA,0,1.390.170.156.955.710,4.585.963.487.625.120,16.298.545.897.006.900,-8.639.999.389.648.430,1.734.000.015.258.780,-19.199.999.570.846.500
7,-9.428.366.661.071.770,11.468.225.717.544.500,14.724.340.438.842.700,CA,0,23.329.292.237.758.600,4.761.732.220.649.710,-8.159.925.937.652.580,-7.5,18.239.999.771.118.100,5.399.999.618.530.270
7,-11.034.875.869.750.900,-9.433.154.463.768.000,12.832.920.551.300.000,CA,0,2.564.624.071.121.210,5.816.344.022.750.850,-7.723.167.538.642.880,-9.779.999.732.971.190,1.734.000.015.258.780,16.200.000.047.683.700
7,-6.852.205.276.489.250,-20.254.945.755.004.800,-1.364.694.982.767.100,CA,0,7.302.387.952.804.560,-6.157.228.350.639.340,6.828.345.060.348.510,-1.109.999.942.779.540,15.960.000.038.146.900,-21.599.998.474.121.000
8,-11.906.365.394.592.200,-646.434.485.912.323,-7.422.025.203.704.830,CA,0,-3.563.309.609.889.980,6.876.282.095.909.110,-23.563.649.654.388.400,-10.079.999.923.706.000,15.539.999.961.853.000,-6.299.999.713.897.700
8,-11.657.367.706.298.800,10.773.907.601.833.300,18.986.018.896.102.900,CA,0,4.170.510.470.867.150,2.636.529.505.252.830,-9.853.696.227.073.660,-11.880.000.114.440.900,13.799.999.237.060.500,-671.999.979.019.165
8,-917.936.897.277.832,-5.094.861.030.578.610,29.233.202.934.265.100,CA,0,199.044.668.674.469,5.145.227.313.041.680,25.710.158.348.083.400,-15.179.999.351.501.400,10.800.000.190.734.800,-6.599.999.904.632.560
9,-5.542.576.789.855.950,-238.462.495.803.833,-9.265.560.507.774.350,CA,0,-4.367.584.362.626.070,-17.054.884.433.746.300,1.485.511.302.947.990,-13.139.999.389.648.400,10.199.999.809.265.100,-10.5
0,-1.824.381.709.098.810,5.224.148.273.468.010,8.006.210.327.148.430,TRO,0,-4.367.584.362.626.070,-17.054.884.433.746.300,1.485.511.302.947.990,21.599.998.474.121.000,-5.819.999.694.824.210,2.315.999.984.741.210
0,35.913.026.332.855.200,730.231.523.513.794,13.623.007.774.353.000,TRO,0,-19.196.065.664.291.300,1.992.044.597.864.150,-873.516.857.624.054,14.399.999.380.111.600,-7.619.999.885.559.080,22.920.000.076.293.900
1,-4.314.351.558.685.300,-3.488.351.821.899.410,5.214.571.475.982.660,TRO,0,11.813.782.453.536.900,22.375.879.287.719.700,-46.232.476.830.482.400,3.240.000.009.536.740,-12.539.999.961.853.000,18
1,-15.243.882.179.260.200,2.494.758.129.119.870,1.871.547.508.239.740,TRO,0,-18.945.728.540.420.500,3.627.758.026.123.040,-22.370.554.506.778.700,671.999.979.019.165,-1.475.999.927.520.750,14.219.999.313.354.400
1,19.991.583.824.157.700,666.785.192.489.624,23.918.075.561.523.400,TRO,0,-1.676.726.222.038.260,-38.397.457.599.639.800,10.018.812.417.984.000,7.799.999.713.897.700,-1.415.999.984.741.210,1.475.999.927.520.750
2,-331.118.106.842.041,-8.236.053.466.796.870,-5.442.020.416.259.760,TRO,0,-18.365.159.034.729.000,10.924.286.842.346.100,-11.078.749.895.095.800,-7.739.999.771.118.160,-11.639.999.389.648.400,16.079.999.923.706.000
2,-14.389.152.526.855.400,5.882.553.577.423.090,11.516.109.704.971.300,TRO,0,35.457.327.365.875.200,5.481.851.100.921.630,3.025.351.047.515.860,-8.699.999.809.265.130,-5.039.999.961.853.020,17.940.000.534.057.600
2,-13.613.430.976.867.600,-6.435.614.109.039.300,26.599.581.241.607.600,TRO,0,-1.805.623.322.725.290,-5.232.579.231.262.200,31.963.260.173.797.600,-1.259.999.942.779.540,-6.480.000.019.073.480,1.325.999.927.520.750
2,-6.587.885.284.423.820,1.756.865.119.934.080,8.322.244.644.165.030,TRO,0,-1.535.046.100.616.450,4.878.911.018.371.580,-3.136.138.439.178.460,-11.579.999.923.706.000,-293.999.981.880.188,14.460.000.038.146.900
3,-25.380.931.854.248.000,2.369.780.921.936.030,8.286.332.130.432.120,TRO,0,3.675.162.419.676.780,-11.137.340.068.817.100,3.563.309.609.889.980,-10.199.999.809.265.100,17.999.999.225.139.600,16.559.999.465.942.300
3,-3.732.560.396.194.450,-10.405.200.958.251.900,-8.224.082.946.777.340,TRO,0,-10.982.877.016.067.500,-2.076.733.112.335.200,-1.092.961.311.340.330,-12.179.999.351.501.400,-34.800.000.190.734.800,13.859.999.656.677.200
3,8.858.546.018.600.460,6.129.156.112.670.890,-5.315.127.849.578.850,TRO,0,3.111.104.726.791.380,21.544.973.850.250.200,29.454.562.067.985.500,-8.039.999.961.853.020,-3.240.000.009.536.740,11.519.999.504.089.300
4,-5.932.831.764.221.190,-4.338.293.552.398.680,280.361.008.644.104,TRO,0,2.971.022.605.895.990,3.376.888.334.751.120,5.265.069.484.710.690,-7.139.999.866.485.590,-1.109.999.942.779.540,4.980.000.019.073.480
4,-4.214.513.397.216.790,8.331.822.156.906.120,-13.215.993.642.807.000,TRO,0,-36.112.465.858.459.400,19.595.539.569.854.700,-6.105.563.163.757.320,-12.179.999.351.501.400,-8.639.999.389.648.430,4.739.999.771.118.160
4,4.046.200.752.258.300,13.527.239.799.499.500,13.663.708.686.828.600,TRO,0,-6.609.966.158.866.880,-3.269.829.273.223.870,27.601.001.262.664.700,-15.539.999.961.853.000,-4.799.999.713.897.700,38.399.999.141.693.100
5,-672.531.270.980.835,-73.238.630.294.799.800,-16.136.919.260.025.000,TRO,0,-18.551.580.905.914.300,32.527.849.674.224.800,-3.175.553.321.838.370,-15.179.999.351.501.400,-37.200.000.286.102.200,3.059.999.942.779.540
5,28.993.782.997.131.300,39.911.341.667.175.200,15.131.354.331.970.200,TRO,0,3.701.793.849.468.230,9.060.074.090.957.640,41.598.576.307.296.700,-1.565.999.984.741.210,23.999.999.463.558.100,5.159.999.847.412.100
5,-5.102.043.628.692.620,-10.431.536.674.499.500,-38.355.112.075.805.600,TRO,0,66.957.197.189.331.000,-27.856.664.657.592.700,2.385.659.694.671.630,-1.619.999.885.559.080,-293.999.981.880.188,20.999.999.046.325.600
6,-3.351.882.553.100.580,17.214.309.692.382.800,2.277.843.475.341.790,TRO,0,-8.375.641.822.814.940,-3.189.934.492.111.200,-14.018.880.128.860.400,-14.039.999.961.853.000,11.999.999.284.744.200,37.799.999.713.897.700
6,-24.339.454.650.878.900,27.212.495.803.833.000,1.460.463.047.027.580,TRO,0,23.755.396.902.561.100,-11.249.192.953.109.700,-13.677.995.204.925.500,-1.134.000.015.258.780,37.200.000.286.102.200,4.679.999.828.338.620
6,8.523.358.106.613.150,-8.121.131.896.972.650,-23.965.959.548.950.100,TRO,0,-3.145.193.338.394.160,1.999.501.347.541.800,-14.940.334.558.486.900,-12.420.000.076.293.900,22.799.999.713.897.700,-5.999.999.642.372.130
7,32.537.200.450.897.200,2.403.778.553.009.030,-3.292.027.235.031.120,TRO,0,13.486.248.254.776,-802.676.796.913.147,6.242.449.879.646.300,-15,35.999.998.450.279.200,3.359.999.895.095.820
7,-8.403.648.138.046.260,-4.659.116.744.995.110,-11.947.066.307.067.800,TRO,0,21.438.446.044.921.800,-7.057.376.861.572.260,3.459.446.430.206.290,-15.299.999.237.060.500,-2.879.999.876.022.330,11.399.999.618.530.200
7,-7.709.329.605.102.530,21.856.666.564.941.400,21.164.743.900.299.000,TRO,0,-1.030.643.343.925.470,12.958.942.651.748.600,-5.757.754.445.075.980,-7.739.999.771.118.160,9.599.999.785.423.270,13.920.000.076.293.900
8,5.585.672.378.540.030,31.124.621.629.714.900,1.278.503.656.387.320,TRO,0,-15.126.755.833.625.700,-11.020.160.913.467.400,6.402.239.203.453.060,-2.700.000.047.683.710,4.319.999.694.824.210,13.380.000.114.440.900
8,-22.146.365.642.547.600,15.538.369.417.190.500,29.065.608.978.271.400,TRO,0,-8.010.788.559.913.630,-1.970.206.618.309.020,-3.520.699.143.409.720,-3.240.000.009.536.740,4.019.999.980.926.510,12.179.999.351.501.400
8,-6.751.648.783.683.770,833.182.144.165.039,4.910.507.678.985.590,TRO,0,-15.552.860.498.428.300,-24.341.292.679.309.800,-6.173.207.759.857.170,5.999.999.865.889.540,4.559.999.942.779.540,12.119.999.885.559.000
8,-38.762.125.968.933.100,7.781.155.586.242.670,7.891.288.757.324.210,TRO,0,1.294.296.383.857.720,-1.726.793.646.812.430,-9.901.633.262.634.270,2.759.999.990.463.250,4.019.999.980.926.510,12.119.999.885.559.000
9,-5.331.887.245.178.220,917.697.525.024.414,10.833.763.122.558.500,TRO,0,48.469.531.536.102.200,-1.080.178.141.593.930,-45.113.950.967.788.600,4.199.999.809.265.130,4.679.999.828.338.620,10.679.999.351.501.400
0,-4.537.012.100.219.720,28.658.595.085.144.000,826.239.013.671.875,SAL,0,48.469.531.536.102.200,-1.080.178.141.593.930,-45.113.950.967.788.600,293.999.981.880.188,163.799.991.607.666,293.999.981.880.188
1,2.427.720.546.722.410,38.307.225.704.193.100,1.139.400.577.545.160,SAL,0,-11.110.708.713.531.400,-9.795.106.649.398.800,10.982.877.016.067.500,4.199.999.809.265.130,15.779.999.732.971.100,4.440.000.057.220.450
1,-31.189.266.204.833.900,-21.157.560.348.510.700,-4.613.626.480.102.530,SAL,0,-35.963.327.884.674.000,6.059.756.755.828.850,-9.693.906.456.232.070,6.539.999.961.853.020,149.399.995.803.833,8.279.999.732.971.190
