timestamp,acc_x,acc_y,acc_z,act,fall,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
4,15.423.447.608.947.700,13.096.282.958.984.300,29.759.926.795.959.400,TRO,0,8.710.938.692.092.890,-7.654.141.783.714.290,-34.636.059.403.419.400,11.219.999.313.354.400,6.179.999.828.338.620,-2.369.999.885.559.080
4,-4.692.635.238.170.620,4.977.545.261.383.050,38.786.067.962.646.400,TRO,0,-10.629.055.500.030.500,-17.366.899.251.937.800,3.543.018.400.669.090,10.739.999.771.118.100,4.739.999.771.118.160,-2.585.999.870.300.290
4,11.494.562.149.047.800,-1.400.607.943.534.850,-4.587.290.287.017.820,TRO,0,22.125.539.779.663.000,19.089.539.051.055.900,-2.140.471.935.272.210,9.119.999.885.559.080,6.119.999.885.559.080,-24.719.999.313.354.400
4,3.375.824.451.446.530,-5.652.710.437.774.650,-4.912.901.878.356.930,TRO,0,-30.836.477.279.663.000,-15.619.823.932.647.700,2.601.675.033.569.330,12,671.999.979.019.165,-20.399.999.618.530.200
4,12.445.060.729.980.400,11.959.037.780.761.700,6.517.016.887.664.790,TRO,0,1.508.837.193.250.650,9.731.083.512.306.210,-16.743.816.137.313.800,9.119.999.885.559.080,10.139.999.389.648.400,-1.931.999.969.482.420
5,4.355.052.947.998.040,6.248.866.558.074.950,3.931.279.182.434.080,TRO,0,-23.457.226.157.188.400,9.468.411.654.233.930,588.263.213.634.491,7.559.999.942.779.540,10.5,-18.119.998.931.884.700
5,6.682.217.121.124.260,-23.104.045.391.082.700,-19.153.614.044.189.400,TRO,0,-12.137.892.246.246.300,-9.480.628.371.238.700,4.092.797.040.939.330,7.019.999.980.926.510,11.279.999.732.971.100,-19.020.000.457.763.600
5,12.713.211.059.570.300,11.635.819.673.538.200,-27.748.796.939.849.800,TRO,0,21.868.975.162.506.100,26.792.550.086.975.000,-18.973.474.502.563.400,671.999.979.019.165,10.679.999.351.501.400,-20.459.999.084.472.600
5,5.556.941.986.083.980,7.441.178.798.675.530,2.985.569.477.081.290,TRO,0,-26.590.964.794.158.900,-18.350.391.387.939.400,4.075.081.825.256.340,9.960.000.038.146.970,24.600.000.381.469.700,-2.165.999.984.741.210
5,2.340.092.658.996.580,78.745.293.617.248.500,25.665.841.102.600.000,TRO,0,2.021.353.006.362.910,7.293.730.974.197.380,-31.080.822.944.641.100,7.739.999.771.118.160,5.399.999.618.530.270,-22.559.999.465.942.300
6,-23.942.017.555.236.800,-50.900.726.318.359.300,-11.994.950.771.331.700,TRO,0,6.414.085.030.555.720,6.291.912.198.066.710,-5.436.700.582.504.270,13.019.999.504.089.300,-24.600.000.381.469.700,-1.884.000.015.258.780
6,3.213.976.287.841.790,2.387.019.157.409.660,-2.760.514.497.756.950,TRO,0,12.571.606.636.047.300,-18.325.957.655.906.600,7.470.881.938.934.320,15.059.999.465.942.300,-7.859.999.656.677.240,-14.639.999.389.648.400
6,6.435.614.109.039.300,9.062.053.680.419.920,463.517.427.444.458,TRO,0,20.641.136.169.433.500,23.774.874.210.357.600,-1.463.022.232.055.660,1.818.000.030.517.570,-671.999.979.019.165,-7.799.999.713.897.700
6,26.882.097.244.262.600,7.637.503.623.962.400,19.273.324.012.756.300,TRO,0,-54.367.005.825.042.700,-36.651.913.076.639.100,15.754.214.525.222.700,19.020.000.457.763.600,-4.679.999.828.338.620,8.579.999.923.706.050
6,17.286.136.150.360.100,-3.248.931.646.347.040,-4.596.867.084.503.170,TRO,0,38.289.034.366.607.600,15.015.068.054.199.200,-2.490.497.589.111.320,1.835.999.870.300.290,-5.339.999.675.750.730,9.059.999.465.942.380
0,27.054.479.718.208.300,7.132.327.079.772.940,7.929.595.947.265.620,SAL,0,3.738.495.409.488.670,16.713.273.525.238.000,-4.856.378.734.111.780,1.781.999.969.482.420,3.419.999.837.875.360,11.519.999.504.089.300
0,21.787.235.736.846.900,25.474.305.152.893.000,7.673.416.614.532.470,SAL,0,12.828.169.763.088.200,-5.009.095.072.746.270,-4.331.034.719.944,1.715.999.984.741.210,20.999.999.046.325.600,13.019.999.504.089.300
0,16.436.195.373.535.100,19.823.989.868.164.000,18.806.453.704.833.900,SAL,0,-10.109.820.365.905.700,-2.917.492.389.678.950,9.566.149.711.608.880,17.940.000.534.057.600,4.199.999.809.265.130,10.559.999.465.942.300
1,6.110.002.517.700.190,45.010.992.884.635.900,3.519.476.354.122.160,SAL,0,18.930.714.130.401.600,1.716.531.366.109.840,-9.804.387.092.590.330,21.059.999.465.942.300,20.999.999.046.325.600,-19.799.998.998.641.900
1,8.140.286.058.187.480,-2.652.775.526.046.750,-10.534.487.962.722.700,SAL,0,-3.090.978.264.808.650,-9.944.885.969.161.980,-15.882.496.535.778.000,208.799.991.607.666,6.599.999.666.213.980,-7.259.999.752.044.670
1,21.586.122.512.817.300,7.570.465.564.727.780,11.884.817.123.413.000,SAL,0,-9.181.304.574.012.750,-10.702.359.676.361.000,13.005.321.025.848.300,1.931.999.969.482.420,4.559.999.942.779.540,-12.119.999.885.559.000
2,-1.922.544.002.532.950,-5.185.841.083.526.610,-15.945.383.310.317.900,SAL,0,8.619.308.471.679.680,3.787.364.438.176.150,-19.718.730.449.676.500,18.119.998.931.884.700,38.399.999.141.693.100,-13.319.999.694.824.200
2,234.655.704.498.291,7.156.269.073.486.320,6.811.503.887.176.510,SAL,0,-2.428.800.106.048.580,-12.950.342.893.600.400,3.032.335.042.953.490,17.399.999.618.530.200,4.079.999.923.706.050,-14.519.999.504.089.300
2,-32.824.504.375.457.700,-23.942.017.555.236.800,-22.816.741.466.522.200,SAL,0,11.160.508.394.241.300,-36.163.222.789.764.400,-22.314.908.504.486.000,16.5,6.599.999.904.632.560,-14.819.999.694.824.200
3,46.758.758.544.921.800,16.563.087.463.378.900,10.697.293.281.555.100,SAL,0,-16.090.190.410.614.000,-21.563.543.379.306.700,7.812.966.704.368.590,10.859.999.656.677.200,11.460.000.038.146.900,-15.839.999.198.913.500
3,-4.898.536.682.128.900,-2.942.473.888.397.210,-15.059.528.350.830.000,SAL,0,1.379.333.734.512.320,-9.126.327.037.811.270,-7.342.600.226.402.280,10.199.999.809.265.100,1.434.000.015.258.780,-13.5
3,2.454.296.112.060.540,16.084.247.589.111.300,25.989.059.448.242.100,SAL,0,-20.311.269.760.131.800,294.437.050.819.397,33.597.588.539.123.500,8.039.999.961.853.020,15.119.999.885.559.000,-149.399.995.803.833
4,-6.162.675.380.706.780,-5.135.562.419.891.350,-11.683.704.853.057.800,SAL,0,2.188.119.411.468.500,24.434.609.711.170.100,-10.213.667.154.312.100,6.420.000.076.293.940,18.899.999.618.530.200,-959.999.942.779.541
4,29.731.197.357.177.700,13.977.349.281.311.000,8.142.680.168.151.850,SAL,0,-1.111.163.854.598.990,-36.041.051.149.368.200,6.591.235.995.292.660,6.960.000.038.146.970,18.420.000.076.293.900,-10.679.999.351.501.400
4,9.600.749.015.808.100,-63.973.069.190.979,14.365.209.639.072.400,SAL,0,2.431.854.486.465.450,-3.170.390.725.135.800,-17.324.138.879.776,7.019.999.980.926.510,18.299.999.237.060.500,-11.639.999.389.648.400
5,-37.181.951.999.664.300,2.121.262.788.772.580,751.779.317.855.835,SAL,0,4.031.710.624.694.820,-37.201.693.654.060.300,8.136.724.829.673.760,4.440.000.057.220.450,15.420.000.076.293.900,-1.565.999.984.741.210
5,4.608.838.081.359.860,6.042.964.935.302.730,-11.468.225.717.544.500,SAL,0,-1.651.168.704.032.890,1.522.887.110.710.140,-950.506.329.536.438,35.399.999.618.530.200,15.899.999.618.530.200,-15.299.999.237.060.500
5,-35.482.068.061.828.600,-15.753.847.360.610.900,3.023.876.667.022.700,SAL,0,2.900.999.069.213.860,-2.174.069.404.602.050,-1.832.595.705.986.020,6.899.999.618.530.270,1.619.999.885.559.080,-12.479.999.542.236.300
6,250.936.279.296.875,16.699.556.350.708.000,13.012.486.457.824.700,SAL,0,-15.259.413.719.177.200,16.468.926.668.167.100,7.941.248.267.889.020,7.679.999.828.338.620,16.5,-13.019.999.504.089.300
6,15.729.905.366.897.500,8.810.662.031.173.700,-3.272.873.640.060.420,SAL,0,588.263.213.634.491,-6.969.972.252.845.760,6.774.495.840.072.630,6.239.999.771.118.160,16.739.999.771.118.100,-13.979.999.542.236.300
6,14.085.088.729.858.300,7.127.538.681.030.270,5.125.985.622.406.000,SAL,0,7.373.143.434.524.530,17.959.438.264.369.900,6.817.256.212.234.490,2.759.999.990.463.250,13.5,-2.003.999.900.817.870
7,7.393.294.811.248.770,8.690.952.062.606.810,8.667.010.068.893.430,SAL,0,-12.748.757.600.784.300,8.222.246.170.043.940,-6.505.714.654.922.480,4.920.000.076.293.940,13.319.999.694.824.200,-18.899.999.618.530.200
7,9.071.630.477.905.270,6.011.840.343.475.340,20.159.177.780.151.300,SAL,0,15.027.284.622.192.300,-8.588.765.263.557.430,12.021.827.697.753.900,5.639.999.866.485.590,13.079.999.923.706.000,-1.769.999.885.559.080
7,29.017.724.990.844.700,6.428.431.510.925.290,9.375.694.274.902.340,SAL,0,-14.703.526.496.887.200,13.213.015.794.754.000,-36.529.740.691.185,9.779.999.732.971.190,12.119.999.885.559.000,-15.839.999.198.913.500
7,-2.829.946.517.944.330,-4.477.157.115.936.270,-3.890.577.793.121.330,SAL,0,2.792.264.938.354.490,-8.203.920.125.961.300,-5.369.505.286.216.730,12.359.999.656.677.200,14.880.000.114.440.900,-10.139.999.389.648.400
0,849.941.611.289.978,4.764.461.517.333.980,8.757.989.883.422.850,SEN,0,-5.742.133.259.773.250,-51.312.681.287.527.000,3.481.931.984.424.590,-11.999.999.284.744.200,2.069.999.885.559.080,12.599.999.904.632.500
0,7.541.735.172.271.720,498.472.785.949.707,8.343.792.915.344.230,SEN,0,733.038.317.412.138,7.208.210.229.873.650,-18.936.822.190.880.700,-10.199.999.809.265.100,21.239.999.771.118.100,13.799.999.952.316.200
1,4.405.331.015.586.850,4.994.304.656.982.420,8.037.335.395.812.980,SEN,0,-21.991.148.591.041.500,11.301.007.121.801.300,4.886.921.960.860.490,-14.399.999.380.111.600,21.059.999.465.942.300,16.200.000.047.683.700
1,5.099.649.429.321.280,4.953.603.267.669.670,8.281.543.731.689.450,SEN,0,-10.995.574.295.520.700,-39.706.241.339.445.100,-36.651.913.076.639.100,-10.799.999.237.060.500,20.760.000.228.881.800,14.399.999.380.111.600
1,4.908.113.479.614.250,4.898.536.682.128.900,835.097.599.029.541,SEN,0,-1.038.470.957.428.210,-7.941.247.895.359.990,-2.076.941.914.856.430,-13.199.999.332.427.900,2.069.999.885.559.080,16.799.999.475.479.100
2,4.620.809.257.030.480,4.946.420.669.555.660,8.267.178.535.461.420,SEN,0,855.211.354.792.118,12.217.304.902.151.200,-2.076.941.914.856.430,-20.399.999.618.530.200,20.939.998.626.708.900,10.799.999.237.060.500
2,4.812.345.504.760.740,5.054.159.641.265.860,8.130.708.694.458.000,SEN,0,5.375.614.017.248.150,3.054.326.167.330.140,-2.382.374.368.607.990,-17.999.999.523.162.800,20.760.000.228.881.800,16.799.999.475.479.100
2,5.722.141.861.915.580,5.097.255.229.949.950,8.315.062.522.888.180,SEN,0,-9.162.978.269.159.790,6.108.652.451.075.610,2.871.066.704.392.430,-17.999.999.523.162.800,2.069.999.885.559.080,16.799.999.475.479.100
2,6.416.460.275.650.020,5.051.765.441.894.530,8.396.465.301.513.670,SEN,0,-3.481.931.984.424.590,1.771.509.274.840.350,19.547.687.843.441.900,-16.200.000.047.683.700,21.299.999.237.060.500,1.5
3,646.434.485.912.323,4.989.516.258.239.740,786.734.676.361.084,SEN,0,-12.217.304.669.320.500,9.162.978.269.159.790,-366.519.158.706.069,-16.799.999.475.479.100,20.939.998.626.708.900,13.199.999.332.427.900
3,8.164.227.604.866.020,5.250.484.466.552.730,9.548.076.629.638.670,SEN,0,-8.796.459.436.416.620,354.301.854.968.071,9.896.016.865.968.700,-16.799.999.475.479.100,21.600.000.381.469.700,1.5
3,5.267.243.981.361.380,4.888.959.884.643.550,8.015.787.124.633.780,SEN,0,9.040.805.697.441.100,1.710.422.709.584.230,4.886.921.960.860.490,-12.599.999.904.632.500,21.600.000.381.469.700,22.799.999.713.897.700
4,49.320.554.733.276.300,4.975.151.062.011.710,8.039.729.118.347.160,SEN,0,-427.605.677.396.059,-12.217.304.669.320.500,-16.493.361.443.281.100,-7.199.999.690.055.840,21,22.799.999.713.897.700
4,5.386.953.949.928.280,4.948.814.868.927.000,8.339.004.516.601.560,SEN,0,-19.547.687.843.441.900,3.420.845.419.168.470,36.651.913.076.639.100,-7.799.999.713.897.700,21.600.000.381.469.700,16.200.000.047.683.700
4,7.182.605.266.571.040,4.876.988.887.786.860,84.108.304.977.417,SEN,0,-2.015.855.349.600.310,-13.439.035.043.120.300,366.519.158.706.069,-35.999.998.450.279.200,2.135.999.870.300.290,12.599.999.904.632.500
5,5.219.359.993.934.630,48.722.004.890.441.800,8.374.917.984.008.780,SEN,0,-3.481.931.984.424.590,-42.760.565.876.960.700,-2.687.807.008.624.070,-35.999.998.450.279.200,21.479.999.542.236.300,1.559.999.942.779.540
5,7.709.329.724.311.820,4.630.385.875.701.900,8.877.699.851.989.740,SEN,0,6.108.652.427.792.540,56.810.468.435.287.400,1.466.076.634.824.270,-5.399.999.618.530.270,21.479.999.542.236.300,1.559.999.942.779.540
5,9.648.633.003.234.860,5.406.107.425.689.690,7.362.170.219.421.380,SEN,0,15.454.891.324.043.200,-507.018.156.349.659,18.448.130.786.418.900,-7.799.999.713.897.700,2.135.999.870.300.290,12.599.999.904.632.500
6,-667.982.280.254.364,5.473.145.008.087.150,8.269.572.257.995.600,SEN,0,-33.108.896.017.074.500,-5.302.310.585.975.640,-9.651.670.604.944.220,17.999.999.225.139.600,20.760.000.228.881.800,16.200.000.047.683.700
6,1.149.216.815.829.270,4.240.131.378.173.820,9.069.235.801.696.770,SEN,0,-30.543.262.138.962.700,-9.957.103.431.224.820,-9.224.065.393.209.450,-47.999.998.927.116.300,20.579.999.923.706.000,19.799.998.998.641.900
6,-10.055.647.045.373.900,4.754.884.719.848.630,8.561.665.534.973.140,SEN,0,15.271.631.069.481.300,16.920.967.400.074.000,-1.258.382.350.206.370,-18.600.000.143.051.100,20.939.998.626.708.900,3.240.000.009.536.740
7,-16.759.412.363.171.500,4.211.400.985.717.770,817.141.056.060.791,SEN,0,-19.120.082.259.178.100,-6.536.258.012.056.350,11.178.833.991.289.100,-2.700.000.047.683.710,2.081.999.969.482.420,4.319.999.694.824.210
7,-5.434.837.937.355.040,4.771.644.115.447.990,8.736.441.612.243.650,SEN,0,11.484.266.817.569.700,7.635.815.441.608.420,34.697.145.223.617.500,-16.799.999.475.479.100,20.939.998.626.708.900,5.099.999.904.632.560
7,3.280.056.416.988.370,449.870.491.027.832,9.339.780.807.495.110,SEN,0,15.271.631.069.481.300,6.658.431.142.568.580,-6.414.084.881.544.110,-41.999.998.688.697.800,21.420.000.076.293.900,35.999.999.046.325.600
8,10.199.298.858.642.500,5.468.356.609.344.480,7.307.103.633.880.610,SEN,0,2.376.265.823.841.090,-34.513.887.763.023.300,-22.113.321.721.553.800,-1.5,2.165.999.984.741.210,20.999.999.046.325.600
0,17.334.020.137.786.800,5.992.686.748.504.630,7.513.004.779.815.670,CA,0,-4.612.032.473.087.310,-24.617.868.661.880.400,-35.063.666.105.270.300,-6.599.999.904.632.560,20.279.998.779.296.800,2.759.999.990.463.250
0,17.741.034.030.914.300,5.978.321.552.276.610,7.280.767.440.795.890,CA,0,-8.796.459.436.416.620,7.208.210.229.873.650,-5.925.392.732.024.190,-7.019.999.980.926.510,19.979.999.542.236.300,2.879.999.876.022.330
1,19.823.989.868.164.000,6.287.173.748.016.350,6.971.915.245.056.150,CA,0,22.479.841.113.090.500,708.603.709.936.142,-22.357.667.982.578.200,-7.199.999.809.265.130,19.979.999.542.236.300,2.879.999.876.022.330
1,3.648.763.418.197.630,5.585.672.378.540.030,574.129.581.451.416,CA,0,9.162.978.827.953.330,-7.935.139.536.857.600,-5.149.593.949.317.930,-8.760.000.228.881.830,19.799.999.237.060.500,2.759.999.990.463.250
1,38.714.241.981.506.300,25.785.553.455.352.700,11.918.335.914.611.800,CA,0,-8.936.958.312.988.280,-1.480.737.328.529.350,41.599.923.372.268.600,-10.679.999.351.501.400,18.779.998.779.296.800,38.999.998.569.488.500
2,3.620.033.025.741.570,7.015.010.714.530.940,7.829.039.573.669.430,CA,0,-17.812.830.209.732.000,-9.297.369.122.505.180,-13.866.641.521.453.800,-10.260.000.228.881.800,15.420.000.076.293.900,10.739.999.771.118.100
2,38.067.808.151.245.100,-90.979.665.517.807,8.492.233.276.367.180,CA,0,-33.108.896.017.074.500,-659.734.457.731.247,-12.461.651.116.609.500,-9.479.999.542.236.320,8.460.000.038.146.970,17.579.999.923.706.000
2,5.257.667.064.666.740,-36.990.416.049.957.200,47.189.717.292.785.600,CA,0,41.661.009.192.466.700,-6.236.934.065.818.780,-10.097.602.605.819.700,-815.999.984.741.211,7.199.999.690.055.840,2.118.000.030.517.570
3,5.638.344.764.709.470,-2.626.439.332.962.030,78.529.815.673.828.100,CA,0,-28.771.753.311.157.200,-2.987.131.178.379.050,-3.805.690.407.752.990,-6.659.999.847.412.100,1.5,2.285.999.870.300.290
3,9.684.545.516.967.770,-3.471.592.366.695.400,1.209.311.294.555.660,CA,0,-11.924.089.193.344.100,-2.382.374.405.860.900,-13.072.516.024.112.700,-587.999.963.760.376,-5.159.999.847.412.100,22.5
3,6.368.576.526.641.840,-27.222.073.078.155.500,5.631.162.166.595.450,CA,0,17.024.813.890.457.100,-7.257.078.886.032.100,-15.515.977.144.241.300,-4.679.999.828.338.620,-15.239.999.771.118.100,1.853.999.900.817.870
4,5.971.138.954.162.590,-45.609.540.939.331.000,5.171.475.887.298.580,CA,0,-4.862.487.316.131.590,-31.642.818.450.927.700,-24.678.955.972.194.600,-521.999.979.019.165,-9.899.999.618.530.270,2.153.999.900.817.870
4,7.299.921.035.766.600,-13.934.253.454.208.300,10.319.009.780.883.700,CA,0,-22.815.816.402.435.300,-49.357.911.944.389.300,-15.454.891.324.043.200,-4.259.999.752.044.670,-8.220.000.267.028.800,23.100.000.381.469.700
4,6.588.842.868.804.930,-38.786.067.962.646.400,9.445.125.579.833.980,CA,0,21.539.108.753.204.300,-18.325.957.655.906.600,-6.774.495.840.072.630,-3.119.999.885.559.080,-19.139.999.389.648.400,14.460.000.038.146.900
5,5.714.959.621.429.440,-22.385.785.579.681.300,5.875.370.979.309.080,CA,0,10.946.705.341.339.100,42.760.565.876.960.700,-1.054.964.303.970.330,-47.999.998.927.116.300,-18.059.999.465.942.300,13.5
5,4.788.403.511.047.360,-21.811.177.730.560.300,5.631.162.166.595.450,CA,0,-26.670.377.254.486.000,-1.431.868.076.324.460,13.805.554.807.186.100,1.559.999.942.779.540,-1.259.999.942.779.540,1.853.999.900.817.870
5,6.833.051.681.518.550,-4.766.855.716.705.320,8.492.233.276.367.180,CA,0,-28.435.776.233.673.000,7.336.491.346.359.250,-13.897.184.133.529.600,6.960.000.038.146.970,-17.219.999.313.354.400,8.399.999.618.530.270
5,6.404.489.517.211.910,-3.797.203.779.220.580,932.541.561.126.709,CA,0,19.688.186.645.507.800,8.936.958.312.988.280,-13.151.928.186.416.600,14.579.999.923.706.000,-15.420.000.076.293.900,-4.679.999.828.338.620
5,103.549.222.946.167,-24.372.973.442.077.600,10.584.765.434.265.100,CA,0,-1.673.770.785.331.720,-8.662.069.439.888,-14.905.111.491.680.100,1.931.999.969.482.420,-11.219.999.313.354.400,-12.599.999.904.632.500
6,70.341.644.287.109.300,-4.726.154.327.392.570,428.322.696.685.791,CA,0,-1.703.092.336.654.660,-6.536.258.012.056.350,-1.569.923.609.495.160,22.439.998.626.708.900,-5.819.999.694.824.210,10.799.999.237.060.500
6,667.982.292.175.293,-31.435.868.740.081.700,44.292.731.285.095.200,CA,0,1.359.175.205.230.710,8.216.137.290.000.910,-5.021.312.236.785.880,2.303.999.900.817.870,-29.999.998.211.860.600,-23.999.999.463.558.100
6,5.343.858.242.034.910,-24.588.451.385.498.000,7.903.259.754.180.900,CA,0,11.435.397.863.388.000,-39.156.460.762.023.900,-41.172.316.670.417.700,22.439.998.626.708.900,2.759.999.990.463.250,17.400.000.095.367.400
6,5.310.339.450.836.180,-11.180.921.792.984.000,8.293.514.251.708.980,CA,0,-15.106.697.082.519.500,-20.097.467.303.276.000,21.930.062.770.843.500,21.420.000.076.293.900,671.999.979.019.165,2.879.999.876.022.330
6,6.277.596.950.531.000,-13.263.877.630.233.700,10.017.339.706.420.800,CA,0,16.920.967.400.074.000,-5.497.787.147.760.390,16.920.967.400.074.000,22.079.999.923.706.000,6.179.999.828.338.620,37.799.999.713.897.700
7,6.076.483.726.501.460,-4.414.907.932.281.490,7.922.413.349.151.610,CA,0,18.081.611.394.882.200,-313.373.863.697.052,-4.202.753.007.411.950,2.231.999.969.482.420,7.019.999.980.926.510,4.799.999.713.897.700
0,14.053.963.422.775.200,5.705.382.823.944.090,7.623.138.427.734.370,CA,0,13.878.858.089.447.000,-10.879.509.449.005.100,12.119.566.202.163.600,-1.325.999.927.520.750,17.579.999.923.706.000,5.759.999.752.044.670
0,29.664.158.821.105.900,4.079.719.543.457.030,6.856.993.675.231.930,CA,0,13.866.640.627.384.100,7.874.053.120.613.090,-6.878.342.628.479.000,-13.380.000.114.440.900,1.703.999.900.817.870,587.999.963.760.376
1,3.801.992.416.381.830,4.843.470.096.588.130,7.254.431.247.711.180,CA,0,-6.517.932.415.008.540,-16.627.751.588.821.400,-6.511.823.534.965.510,-16.440.000.534.057.600,15.359.999.656.677.200,5.519.999.980.926.510
1,6.315.904.140.472.410,13.120.225.667.953.400,838.449.478.149.414,CA,0,-25.754.079.818.725.500,-14.471.397.399.902.300,7.073.819.637.298.580,-16.260.000.228.881.800,1.134.000.015.258.780,9.239.999.771.118.160
1,13.237.541.198.730.400,-694.079.065.322.876,4.266.467.571.258.540,CA,0,-8.148.942.589.759.820,-1.832.595.705.986.020,-3.420.845.419.168.470,-6.539.999.961.853.020,-1.5,20.399.999.618.530.200
2,6.485.892.295.837.400,-13.455.413.579.940.700,4.041.412.353.515.620,CA,0,-2.568.077.564.239.500,3.029.891.550.540.920,7.263.187.766.075.130,12.599.999.904.632.500,-12.779.999.732.971.100,1.715.999.984.741.210
2,11.473.014.831.542.900,-7.898.471.355.438.230,36.822.822.093.963.600,CA,0,15.137.240.886.688.200,-7.012.733.221.054.070,39.095.375.686.883.900,22.200.000.286.102.200,-18.779.998.779.296.800,9.719.999.313.354.490
2,5.169.081.687.927.240,-6.232.107.162.475.580,-5.051.765.441.894.530,CA,0,2.074.498.414.993.280,28.038.713.335.990.900,-2.282.803.535.461.420,29.999.998.211.860.600,-19.559.999.465.942.300,8.699.999.809.265.130
2,9.801.861.763.000.480,-46.040.496.826.171.800,29.281.086.921.691.800,CA,0,-22.094.995.975.494.300,-8.252.789.378.166.190,24.330.763.816.833.400,6.119.999.885.559.080,-9.179.999.351.501.460,18
3,1.449.210.262.298.580,-2.118.868.589.401.240,7.845.798.969.268.790,CA,0,-598.647.952.079.773,5.858.197.808.265.680,35.063.666.105.270.300,4.679.999.828.338.620,-11.699.999.809.265.100,1.619.999.885.559.080
3,75.968.017.578.125,-8.461.109.161.376.950,198.958.158.493.042,CA,0,2.076.941.728.591.910,4.642.575.979.232.780,-2.520.430.088.043.210,-3.240.000.009.536.740,-22.139.999.389.648.400,2.700.000.047.683.710
3,862.630.844.116.211,-4.359.841.346.740.720,26.791.117.191.314.600,CA,0,-19.730.947.017.669.600,3.854.559.659.957.880,6.322.455.406.188.960,5.159.999.847.412.100,-15.839.999.198.913.500,1.284.000.015.258.780
4,11.875.240.325.927.700,-3.294.421.434.402.460,5.324.704.647.064.200,CA,0,46.181.413.531.303.400,-14.477.506.279.945.300,5.021.312.236.785.880,7.440.000.057.220.450,-12.779.999.732.971.100,16.440.000.534.057.600
4,6.246.472.358.703.610,-7.058.106.422.424.310,29.496.564.865.112.300,CA,0,17.605.136.632.919.300,9.327.912.330.627.440,-229.746.413.230.896,19.799.998.998.641.900,-19.260.000.228.881.800,10.800.000.190.734.800
4,13.943.830.490.112.300,-3.268.085.241.317.740,18.938.134.908.676.100,CA,0,403.781.920.671.463,-2.620.611.786.842.340,6.395.758.986.473.080,5.339.999.675.750.730,-8.819.999.694.824.210,1.685.999.870.300.290
5,7.043.741.226.196.280,9.145.850.539.207.450,63.063.273.429.870.600,CA,0,-9.517.280.459.403.990,-3.194.825.351.238.250,5.461.135.506.629.940,7.619.999.885.559.080,-16.799.999.475.479.100,19.5
5,57.987.565.994.262.600,-7.287.950.038.909.910,65.696.892.738.342.200,CA,0,28.044.822.216.033.900,-20.115.792.751.312.200,-12.388.347.387.313.800,5.579.999.923.706.050,-9.539.999.961.853.020,17.399.999.618.530.200
5,9.284.713.745.117.180,-3.804.386.615.753.170,1.192.312.479.019.160,CA,0,19.346.102.476.119.900,5.674.937.963.485.710,-3.176.499.158.143.990,8.579.999.923.706.050,7.199.999.690.055.840,17.579.999.923.706.000
